normalized_string,normalized_translation_value, ,translation_memory_uuid,string_id,source_language,destination_language,webpage_id,request_url,website_id,date_inserted
Womens Hub,Hub pour femmes,2,40e8b0fa-e368-11e2-bd1c-123138171cec,535,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Accessories,Accessoires,1,40e8b0fa-e368-11e2-bd1c-123138171cec,338,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Bottoms,Bas,1,40e8b0fa-e368-11e2-bd1c-123138171cec,339,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Headwear,Garniture de tête,1,40e8b0fa-e368-11e2-bd1c-123138171cec,340,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Hi-Vis,Hi-Vis,1,40e8b0fa-e368-11e2-bd1c-123138171cec,537,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Outerwear,Vêtements d'extérieur,1,40e8b0fa-e368-11e2-bd1c-123138171cec,341,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Unisync Group,Unisync Group,2,40e8b0fa-e368-11e2-bd1c-123138171cec,230,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Order Tracking,Suivi de commande,2,40e8b0fa-e368-11e2-bd1c-123138171cec,9,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Contact Us,Contactez-nous,2,40e8b0fa-e368-11e2-bd1c-123138171cec,10,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Returns &amp; Exchanges,Retours &amp; Échanges,2,40e8b0fa-e368-11e2-bd1c-123138171cec,11,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Privacy &amp; Security,Privé &amp; Sécurité,2,40e8b0fa-e368-11e2-bd1c-123138171cec,12,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Terms of Use,Conditions d'utilisation,3,40e8b0fa-e368-11e2-bd1c-123138171cec,13,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Need Help?,Besoin d'aide?,2,40e8b0fa-e368-11e2-bd1c-123138171cec,14,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
"Call <v id=""1"">855-805-3968</v> or <g id=""2"">email us</g>","Appelez <v id=""1"">855-805-3968</v> ou <g id=""2"">envoyez-nous un courriel</g>",10,40e8b0fa-e368-11e2-bd1c-123138171cec,444,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
"Copyright ???? <v id=""1"">2013</v> Unisync Group","Droit d'auteur ???? <v id=""1"">2013</v> Unisync Group",6,40e8b0fa-e368-11e2-bd1c-123138171cec,16,en,fr,,http://frpurolator.unisyncgroupstores.com/Womens_Hub.7595.2.htm?CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:05:06 2013
Color:,Couleur :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,88,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Index&Lcode=StoreLogin.Do,Purolator French,Mon Jul  1 12:06:36 2013
"<g id=""1"">Color:</g> Navy","<g id=""1"">Couleur:</g> Bleu marin",5,40e8b0fa-e368-11e2-bd1c-123138171cec,89,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Index&Lcode=StoreLogin.Do,Purolator French,Mon Jul  1 12:06:36 2013
Size:,Taille :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,92,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Index&Lcode=StoreLogin.Do,Purolator French,Mon Jul  1 12:06:36 2013
My Account Overview,Aperçu de mon compte,3,40e8b0fa-e368-11e2-bd1c-123138171cec,17,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
Account,Compte,1,40e8b0fa-e368-11e2-bd1c-123138171cec,19,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
Order Status,État d'une commande,2,40e8b0fa-e368-11e2-bd1c-123138171cec,20,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
Username/Password,Nom d'utilisateur/Mot de passe,2,40e8b0fa-e368-11e2-bd1c-123138171cec,21,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
"<g id=""1"">Select Employee:</g>","<g id=""1"">Sélectionnez Employé(e) :</g>",5,40e8b0fa-e368-11e2-bd1c-123138171cec,22,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
"(Get there fast! Click in the drop down and start typing the <v id=""1"">10</v> digit location.)","(Rendez-vous-y rapidement! Cliquez dans le déroulant et commencez à taper la <v id=""1"">10</v> position de chiffre.)",17,40e8b0fa-e368-11e2-bd1c-123138171cec,480,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
-Select Shipping Location-,—Sélectionnez l'emplacement d'expédition—,3,40e8b0fa-e368-11e2-bd1c-123138171cec,23,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
-Select Employee-,—Sélectionnez l'employé(e)—,2,40e8b0fa-e368-11e2-bd1c-123138171cec,29,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
"<g id=""1"">Buying for Employee:</g>","<g id=""1"">Achat pour l'employé(e) :</g>",6,40e8b0fa-e368-11e2-bd1c-123138171cec,393,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
Employeer Name:,Nom de l'employé(e) :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,31,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
"&#13; <g id=""1"">Employeer Name:</g> <g id=""2""></g>","&#13; <g id=""1"">Nom de l'employé(e) :</g> <g id=""2""></g>",8,40e8b0fa-e368-11e2-bd1c-123138171cec,32,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:38 2013
Employeer Number:,Matricule d'employé(e) :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,33,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:39 2013
"<g id=""1"">Employeer Number:</g> <g id=""2""></g> &#13;","<g id=""1"">Matricule d'employé :</g> <g id=""2""></g> &#13;",8,40e8b0fa-e368-11e2-bd1c-123138171cec,34,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:39 2013
Employee Account is Active.,Le compte de l'employé(e) est actif.,4,40e8b0fa-e368-11e2-bd1c-123138171cec,394,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:06:39 2013
Log In,Ouverture de session,2,40e8b0fa-e368-11e2-bd1c-123138171cec,540,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:07:22 2013
Create Account,Créez un compte,2,40e8b0fa-e368-11e2-bd1c-123138171cec,541,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:07:22 2013
Switch Employee,Échangez l'employé(e),2,40e8b0fa-e368-11e2-bd1c-123138171cec,542,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection&y,Purolator French,Mon Jul  1 12:07:22 2013
Unisync Group | Unisex Navy 5 in 1 Jacket | Womens Hub | Unisync Group | 5910,Unisync Group | Unisexe bleu marin Veste 5 en 1 | Hub pour femmes | Unisync Group | 5910,10,40e8b0fa-e368-11e2-bd1c-123138171cec,538,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
"Item Code: <v id=""1"">5910</v>","Code de l'article : <v id=""1"">5910</v>",5,40e8b0fa-e368-11e2-bd1c-123138171cec,363,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Manufacturer: Unisync Group&#13;,Fabricant : Unisync Group&#13;,3,40e8b0fa-e368-11e2-bd1c-123138171cec,101,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Features:,Caractéristiques :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,364,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Options:,Options :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,366,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
"&#13; Navy&#13; <g id=""1""> &#13; <g id=""2""><g id=""3"">Navy</g></g><x id=""4""/><x id=""5""/></g> &#13;","&#13; Bleu marin&#13; <g id=""1""> &#13; <g id=""2""><g id=""3"">Bleu marin</g></g><x id=""4""/><x id=""5""/></g> &#13;",15,40e8b0fa-e368-11e2-bd1c-123138171cec,367,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Fit:,Ajustement :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,90,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Select Fit,Sélectionnez l'ajustement,2,40e8b0fa-e368-11e2-bd1c-123138171cec,368,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Regular,Normal,1,40e8b0fa-e368-11e2-bd1c-123138171cec,369,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Tall,Grande taille,1,40e8b0fa-e368-11e2-bd1c-123138171cec,370,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Select Size,Sélectionnez la taille,2,40e8b0fa-e368-11e2-bd1c-123138171cec,371,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
"Your unused Quota is : <v id=""1"">0</v>","Votre quota inutilisé est : <v id=""1"">0</v>",7,40e8b0fa-e368-11e2-bd1c-123138171cec,539,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
Stock:,Stock :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,381,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-5-in-1-Jacket.32625.7595.1.htm?UMParent=0,Purolator French,Mon Jul  1 12:11:58 2013
"&#13; Buying for <v id=""1"">tester tester</v> &#13; <g id=""2"">&#13; &#13; <g id=""3"">Switch Employee</g>&#13; &#13; </g> &#13;","&#13; Achat pour <v id=""1"">testeur testeur</v> &#13; <g id=""2"">&#13; &#13; <g id=""3"">Échangez l'employé(e)</g>&#13; &#13; </g> &#13;",13,40e8b0fa-e368-11e2-bd1c-123138171cec,544,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=index&lcode=Account.supervisor.EmployeeSelection,Purolator French,Mon Jul  1 12:37:43 2013
Bottoms - Unisync Group,Bas — Unisync Group,4,40e8b0fa-e368-11e2-bd1c-123138171cec,545,en,fr,,http://frpurolator.unisyncgroupstores.com/bottoms-c.html?cat=Bottoms&UMParent=0,Purolator French,Mon Jul  1 12:39:37 2013
Pants,Pantalons,1,40e8b0fa-e368-11e2-bd1c-123138171cec,546,en,fr,,http://frpurolator.unisyncgroupstores.com/bottoms-c.html?cat=Bottoms&UMParent=0,Purolator French,Mon Jul  1 12:39:37 2013
Shorts,Shorts,1,40e8b0fa-e368-11e2-bd1c-123138171cec,547,en,fr,,http://frpurolator.unisyncgroupstores.com/bottoms-c.html?cat=Bottoms&UMParent=0,Purolator French,Mon Jul  1 12:39:37 2013
Unisync Group | Unisex Navy Cargo Short | Shorts | Unisync Group | 1599,Unisync Group | Unisexe short cargo bleu marin | Shorts | Unisync Group | 1599,9,40e8b0fa-e368-11e2-bd1c-123138171cec,548,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
Qty:,Qté,1,40e8b0fa-e368-11e2-bd1c-123138171cec,379,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
Employee Username:,Nom d'utilisateur de l'employé(e) :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,105,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
Employee Name:,Nom de l'employé(e) :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,104,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
Employee Customer ID:,ID de client de l'employ(é) :,3,40e8b0fa-e368-11e2-bd1c-123138171cec,382,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
Employee Number:,Matricule d'employé :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,130,en,fr,,http://frpurolator.unisyncgroupstores.com/Unisex-Navy-Cargo-Short.32618.7631.1.htm?UMParent=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:40:49 2013
"The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.",La ressource pour laquelle vous cherchez pourrait avoir été retirée; avoir changé de nom; ou elle est non disponible temporairement.,18,40e8b0fa-e368-11e2-bd1c-123138171cec,119,en,fr,,http://frpurolator.unisyncgroupstores.com/favicon.ico,Purolator French,Mon Jul  1 12:48:40 2013
Unisync Group | Unisex Navy Cargo Pant | | Unisync Group | 1593,Unisync Group | Unisexe pantalon cargo bleu marin | | Unisync Group | 1593,8,40e8b0fa-e368-11e2-bd1c-123138171cec,549,en,fr,,http://frpurolator.unisyncgroupstores.com/unisex-navy-cargo-pant-p.html?UMParent=0,Purolator French,Mon Jul  1 12:48:56 2013
Inseam:,Couture d'entrejambes :,1,40e8b0fa-e368-11e2-bd1c-123138171cec,445,en,fr,,http://frpurolator.unisyncgroupstores.com/unisex-navy-cargo-pant-p.html?UMParent=0,Purolator French,Mon Jul  1 12:48:56 2013
Select Inseam,Sélectionnez la couture d'entrejambes :,2,40e8b0fa-e368-11e2-bd1c-123138171cec,550,en,fr,,http://frpurolator.unisyncgroupstores.com/unisex-navy-cargo-pant-p.html?UMParent=0,Purolator French,Mon Jul  1 12:48:56 2013
Unisync Group | Unisex Navy Cargo Pant | Mens Courier | Unisync Group | 1593,Unisync Group | Unisexe pantalon cargo bleu marin | Homme courrier | Unisync Group | 1593,10,40e8b0fa-e368-11e2-bd1c-123138171cec,551,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Product&action=skipcart&product_ID=32617&category=0&CFID=11033&CFTOKEN=66b66f18c4093a0b-73D03EC6-A4B9-3A12-000C1E17C8E4A8B8&jsessionid=b030ae8a28bbd08564d23bf1c3b10346ae15,Purolator French,Mon Jul  1 12:49:21 2013
Shopping Cart,Panier d'achat,2,40e8b0fa-e368-11e2-bd1c-123138171cec,94,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Cart,Purolator French,Mon Jul  1 12:51:32 2013
Item,Article,1,40e8b0fa-e368-11e2-bd1c-123138171cec,95,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Cart,Purolator French,Mon Jul  1 12:51:32 2013
Qty,Qté,1,40e8b0fa-e368-11e2-bd1c-123138171cec,97,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Cart,Purolator French,Mon Jul  1 12:51:32 2013
Remove,Enlevez,1,40e8b0fa-e368-11e2-bd1c-123138171cec,98,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Cart,Purolator French,Mon Jul  1 12:51:32 2013
Additional Information,Information supplémentaire,2,40e8b0fa-e368-11e2-bd1c-123138171cec,99,en,fr,,http://frpurolator.unisyncgroupstores.com/UMSS.cfm?page=page-index.cfm&template_code=Cart,Purolator French,Mon Jul  1 12:51:32 2013
